,preCloseIndex,openIndex,lowestIndex,highestIndex,turnoverVol,closeIndex,label,,,,,
75,1390.32996,1387.71997,1379.25,1390.22998,3420570000,1388.17004,1397.83997,1397.95996,1394.40002,1402.90002,3607000000,1396.37
76,1388.17004,1386.43005,1369.83997,1386.43005,3821900000,1375.93994,1396.37,1395.60999,1386.69995,1397,3815320000,1390.93994
77,1375.93994,1378.40002,1372.23999,1387.87,4103610000,1379.93005,1390.93994,1391.21997,1384.25,1404.56995,4508890000,1385.58997
78,1379.93005,1380.52002,1371.08997,1397.71997,4461660000,1388.81995,1385.58997,1385.96997,1383.06995,1410.06995,4448780000,1409.33997
79,1388.81995,1387.88,1379.97998,1399.10999,3891150000,1397.83997,1409.33997,1409.16003,1406.25,1422.71997,3953030000,1413.90002
80,1397.83997,1397.95996,1394.40002,1402.90002,3607000000,1396.37,1413.90002,1415.33997,1404.37,1415.33997,3410090000,1407.48999
81,1396.37,1395.60999,1386.69995,1397,3815320000,1390.93994,1407.48999,1405.59998,1397.09998,1421.56995,3924100000,1418.26001
82,1390.93994,1391.21997,1384.25,1404.56995,4508890000,1385.58997,1418.26001,1417.48999,1391.16003,1419.54004,4075860000,1392.56995
83,1385.58997,1385.96997,1383.06995,1410.06995,4448780000,1409.33997,1392.56995,1394.29004,1389.39001,1402.34998,3827550000,1397.68005
84,1409.33997,1409.16003,1406.25,1422.71997,3953030000,1413.90002,1397.68005,1394.90002,1384.10999,1394.90002,3518620000,1388.28003
85,1413.90002,1415.33997,1404.37,1415.33997,3410090000,1407.48999,1388.28003,1389.40002,1386.19995,1404.06006,3370630000,1403.57996
86,1407.48999,1405.59998,1397.09998,1421.56995,3924100000,1418.26001,1403.57996,1404.40002,1396.26001,1406.30005,4018590000,1403.04004
87,1418.26001,1417.48999,1391.16003,1419.54004,4075860000,1392.56995,1403.04004,1405.65002,1405.65002,1420.18994,3979370000,1408.66003
88,1392.56995,1394.29004,1389.39001,1402.34998,3827550000,1397.68005,1408.66003,1408.35999,1406.87,1424.40002,3836480000,1423.56995
89,1397.68005,1394.90002,1384.10999,1394.90002,3518620000,1388.28003,1423.56995,1423.89001,1414.34998,1425.81995,3842590000,1425.34998
90,1388.28003,1389.40002,1386.19995,1404.06006,3370630000,1403.57996,1425.34998,1425.28003,1421.63,1440.23999,3683970000,1426.63
91,1403.57996,1404.40002,1396.26001,1406.30005,4018590000,1403.04004,1426.63,1424.48999,1409.08997,1424.48999,3854320000,1413.40002
92,1403.04004,1405.65002,1405.65002,1420.18994,3979370000,1408.66003,1413.40002,1414.06006,1388.81006,1419.12,4517990000,1390.70996
93,1408.66003,1408.35999,1406.87,1424.40002,3836480000,1423.56995,1390.70996,1390.82996,1390.22998,1399.06995,3955960000,1394.34998
94,1423.56995,1423.89001,1414.34998,1425.81995,3842590000,1425.34998,1394.34998,1392.19995,1373.71997,1392.19995,3516380000,1375.93005
95,1425.34998,1425.28003,1421.63,1440.23999,3683970000,1426.63,1375.93005,1375.96997,1373.06995,1387.40002,3588860000,1385.34998
96,1426.63,1424.48999,1409.08997,1424.48999,3854320000,1413.40002,1385.34998,1386.54004,1378.16003,1391.25,3927240000,1390.83997
97,1413.40002,1414.06006,1388.81006,1419.12,4517990000,1390.70996,1390.83997,1390.5,1388.58997,1406.31995,3894440000,1398.26001
98,1390.70996,1390.82996,1390.22998,1399.06995,3955960000,1394.34998,1398.26001,1398.35999,1398.07996,1404.45996,3845630000,1400.38
99,1394.34998,1392.19995,1373.71997,1392.19995,3516380000,1375.93005,1400.38,1399.62,1377.79004,1399.62,3714320000,1385.67004
100,1375.93005,1375.96997,1373.06995,1387.40002,3588860000,1385.34998,1385.67004,1386.42004,1370.12,1393.12,4396380000,1377.65002
101,1385.34998,1386.54004,1378.16003,1391.25,3927240000,1390.83997,1377.65002,1376.26001,1371.73999,1388.18005,4338640000,1377.19995
102,1390.83997,1390.5,1388.58997,1406.31995,3894440000,1398.26001,1377.19995,1377.47998,1377.47998,1404.05005,4350790000,1404.05005
103,1398.26001,1398.35999,1398.07996,1404.45996,3845630000,1400.38,1404.05005,1400.06006,1359.90002,1400.06006,4771660000,1360.68005
104,1400.38,1399.62,1377.79004,1399.62,3714320000,1385.67004,1360.68005,1360.82996,1350.62,1370.63,4404570000,1361.76001
105,1385.67004,1386.42004,1370.12,1393.12,4396380000,1377.65002,1361.76001,1358.97998,1351.56006,1366.83997,4635070000,1358.43994
106,1377.65002,1376.26001,1371.73999,1388.18005,4338640000,1377.19995,1358.43994,1357.08997,1335.46997,1357.08997,4779980000,1335.48999
107,1377.19995,1377.47998,1377.47998,1404.05005,4350790000,1404.05005,1335.48999,1335.78003,1331.29004,1353.03003,4734240000,1339.87
108,1404.05005,1400.06006,1359.90002,1400.06006,4771660000,1360.68005,1339.87,1341.81006,1341.70996,1360.03003,4080420000,1360.03003
